drugname,pt,count_a,prr,chi2
MISOPROSTOL,RETAINED PRODUCTS OF CONCEPTION,4,10188.030993174745,15597.892245306435
ALBUTEROL CETERIZINE,AVULSION FRACTURE,4,10188.030993174745,15597.892245306435
CARFILZOMIB,VASCULITIS,4,6368.137641816937,15597.892245306435
ABIRATERONE,ACQUIRED HAEMOPHILIA,4,6368.137641816937,15597.892245306435
ALBUTEROL CETERIZINE,ENTHESOPATHY,4,10188.030993174745,15597.892245306435
FLECAINIDE ACETATE,PULSE ABNORMAL,12,2122.3048997571627,15580.281527623461
VITAMIN D DROPS,INCREASED TENDENCY TO BRUISE,6,4245.216766812741,15559.42384663221
VITAMIN D DROPS,IMMUNE THROMBOCYTOPENIA,6,4245.216766812741,15559.42384663221
CEFAZOLIN,PROCEDURAL COMPLICATION,12,3472.121817029475,15298.38802597467
HYDROXYUREA,EJECTION FRACTION DECREASED,6,3762.0247196110818,15289.270018409004
TAMOXIFEN 5 MG,RETINOPATHY,3,9262.782942436044,15159.508965442976
SUMATRITAN - 500 MG,RETINOPATHY,3,9262.782942436044,15159.508965442976
CYANOCOBALAMIN\GLYCINE\TIRZEPATIDE,RETINOPATHY,3,9262.782942436044,15159.508965442976
MINOCYCLINE,INTRACRANIAL PRESSURE INCREASED,8,4024.5212366891637,14974.191478029288
MIFEPRISTONE,ABORTION INDUCED,4,6792.494915985164,14854.656363100257
TERAZOSIN,ACUTE MYOCARDIAL INFARCTION,26,619.3461209455974,14332.83691251238
FLUVOXAMINE,MYOCLONUS,6,3773.5313547641845,14262.028667098546
XYNTHA SOLOFUSE (3040U),FEEDING DISORDER,4,5660.574803241608,14179.404910013687
XYNTHA SOLOFUSE (468U),FEEDING DISORDER,4,5660.574803241608,14179.404910013687
XYNTHA SOLOFUSE (973U),FEEDING DISORDER,4,5660.574803241608,14179.404910013687
BLUNT FILTER NEEDL 18GX1-1/2,HAEMORRHAGIC OVARIAN CYST,4,6175.046652006272,14179.196147844954
PROZAC 40 MG 25 MG OF HYDROXYZINE,INFERTILITY,3,13584.14395825465,14148.611157126541
PROZAC 40 MG 25 MG OF HYDROXYZINE,BLOOD OESTROGEN DECREASED,3,13584.14395825465,14148.611157126541
PROZAC 40 MG 25 MG OF HYDROXYZINE,POSTMENOPAUSE,3,13584.14395825465,14148.611157126541
PROZAC 40 MG 25 MG OF HYDROXYZINE,HORMONE LEVEL ABNORMAL,3,13584.14395825465,14148.611157126541
MINOCYCLINE,OPTIC DISC OEDEMA,8,3622.077312654222,14141.528192140207
CARVYKTI,CRANIAL NERVE PARALYSIS,20,70422535.21101964,13624.22419942183
CARVYKTI,PARKINSONISM,20,70422535.21101964,13624.22419942183
INVESTIGATIONAL PRODUCT,ABNORMAL WEIGHT GAIN,12,1940.276414517471,13595.011002969697
INVESTIGATIONAL PRODUCT,INJURY,12,1940.276414517471,13595.011002969697
GATTEX,ILEUS,3,16085.624257135054,13403.881611564679
ENTYVIO,INTESTINAL HAEMORRHAGE,3,16085.624257135054,13403.881611564679
EMPAGLIFLOZIN,BLOOD CREATININE INCREASED,52,494.24852351807505,13244.519775025901
EMPAGLIFLOZIN,BACTERAEMIA,50,520.0726574579567,13069.5219747469
VITAMINS A,RENAL MASS,4,5094.523090503255,12997.332134744838
BETNOVATE,SKIN WEEPING,8,3638.032350619932,12783.319335842492
DILTIAZEM GD,RENAL NEOPLASM,4,4528.57949074279,12733.249942652066
VECTIBIX,NEOPLASM MALIGNANT,8,1940.7867092875251,12673.108131126843
FAMOTIDINE 20 MG IV,ANAPHYLACTIC REACTION,24,588.9216184645065,12651.32690187249
MINOCLYCIN,NEUROLEPTIC MALIGNANT SYNDROME,5,3995.559948798893,12498.627570967872
FLUPHENAZINE HYDROCHLORIDE,NEUROLEPTIC MALIGNANT SYNDROME,5,3995.559948798893,12498.627570967872
PROSCAR,ACUTE MYOCARDIAL INFARCTION,26,536.7561011879063,12415.23600342556
ROCURONIUM,CEREBRAL INFARCTION,7,2315.6370027082103,12049.907939957084
SUCCINYLCHOLINE,CEREBRAL INFARCTION,7,2315.6370027082103,12049.907939957084
PHENYLEPHRINE,CEREBRAL INFARCTION,7,2315.6370027082103,12049.907939957084
CEQUA,EYELID MARGIN CRUSTING,3,83333333.33101852,11790.717566935356
CEQUA,HORDEOLUM,3,83333333.33101852,11790.717566935356
CEQUA,EYE INFECTION,3,83333333.33101852,11790.717566935356
VONVENDI,POST PROCEDURAL HAEMORRHAGE,9,2010.7033243991693,11728.638861938094
OCTAGAM IMMUNE GLOBULIN (HUMAN),CATHETER SITE HAEMORRHAGE,8,6103.016312665631,11699.88124342493
ISOSORBIDE MONONITRATE,ACUTE MYOCARDIAL INFARCTION,26,503.2039056611023,11636.211198101753
BESREMI,ACUTE MYOCARDIAL INFARCTION,26,503.2039056611023,11636.211198101753
PAQENYIL,OFF LABEL USE,4,4430.025966229678,11552.57652743055
CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,T-CELL LYMPHOMA,10,1415.1009625538,11482.629537150877
EMPAGLIFLOZIN,EUGLYCAEMIC DIABETIC KETOACIDOSIS,66,259.8883564079999,11403.544666149977
ASCORBIC ACID\BIOTIN\CALCIUM PANTOTHENATE\CYANOCOBALAMIN\FOLIC ACID\NIACINAMIDE\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN\THIAMINE HYDROCHLORIDE,NONSPECIFIC REACTION,30,417.5428584308578,11384.111345155854
VALGANCICLOVIR 450 MG,NONSPECIFIC REACTION,30,417.5428584308578,11384.111345155854
ENVARSUS XR 1 MG,NONSPECIFIC REACTION,30,417.5428584308578,11384.111345155854
ENVARSUS XR 0.75 MG,NONSPECIFIC REACTION,30,417.5428584308578,11384.111345155854
MAG-OXIDE 400 MG,NONSPECIFIC REACTION,30,417.5428584308578,11384.111345155854
CARVYKTI,HYPOAESTHESIA ORAL,20,3582.6874428039055,11347.243436280636
PROTEIN,CATARACT SUBCAPSULAR,3,6368.200139959556,11169.122890531875
CYMBALTA 30MG CAPSULES,PNEUMOCYSTIS JIROVECII PNEUMONIA,4,3918.965409900966,11141.101506686637
GLIPIZIDE ER 2.5MG TABLETS,PNEUMOCYSTIS JIROVECII PNEUMONIA,4,3918.965409900966,11141.101506686637
ONE A DAY WOMEN ACTIVE MB TAB SO^S,PNEUMOCYSTIS JIROVECII PNEUMONIA,4,3918.965409900966,11141.101506686637
DILAUDID 2MG TABLETS,PNEUMOCYSTIS JIROVECII PNEUMONIA,4,3918.965409900966,11141.101506686637
PREDNISONE 50MG (FIFTY MG) TABLETS,PNEUMOCYSTIS JIROVECII PNEUMONIA,4,3918.965409900966,11141.101506686637
TAB-A-VITE,GENERAL PHYSICAL CONDITION ABNORMAL,4,4245.443118255379,11139.789212830201
BUMETANIDE 2MG,GENERAL PHYSICAL CONDITION ABNORMAL,4,4245.443118255379,11139.789212830201
POLYETHYLENE GLYCOL POWDER,GENERAL PHYSICAL CONDITION ABNORMAL,4,4245.443118255379,11139.789212830201
HYDROCORTISONE 25MG,GENERAL PHYSICAL CONDITION ABNORMAL,4,4245.443118255379,11139.789212830201
KENALOG,GUILLAIN-BARRE SYNDROME,12,1306.0380487904852,10991.893517848495
GLEOSTINE,NEOPLASM PROGRESSION,4,5362.284466920572,10943.962966592333
VYALEV,INFUSION SITE INFECTION,4,5906.118260671987,10848.843697918519
ADYNOVATE,POST PROCEDURAL HAEMORRHAGE,8,2037.5733929796565,10843.808044647985
DEXAMETHASONE (1ML/VL),SHOCK HAEMORRHAGIC,4,4075.6267777524968,10755.469989748937
BRIMONIDINE,NONSPECIFIC REACTION,30,391.4425875698386,10669.021541982373
ARALAST NP,RHINOVIRUS INFECTION,8,1835.728628907785,10602.709495599518
BISOPROLOL,PANCREATITIS ACUTE,28,437.02956598072456,10481.864615774051
OCTREOTIDE ACETATE,BLOOD PRESSURE ABNORMAL,4,3918.8731302900364,10396.772049034866
ALBUTEROL CETERIZINE,TIBIA FRACTURE,4,5094.145244861475,10396.465899947298
COGENTIN 1 MG BID,TRISMUS,4,4245.341763510869,10396.465899947298
