drugname,pt,count_a,prr,chi2
IRINOTECAN,DYSARTHRIA,12,254.66342572804194,2591.5661573064194
GSK4524184 100 MG TABLET,UPPER-AIRWAY COUGH SYNDROME,8,737.3544305672619,2584.5679085246043
GSK4524184 100 MG TABLET,PSEUDOFOLLICULITIS,8,737.3544305672619,2584.5679085246043
TRULICITY,ENTERITIS,11,284.09597671639176,2583.1761307198212
CYCLOSPORINE,KIDNEY INFECTION,8,392.030150056372,2579.456268479321
CULTURELLE,ACTIVITIES OF DAILY LIVING DECREASED,4,895.7202687484978,2578.360954467186
WES-PHOS,LIVER FUNCTION TEST INCREASED,4,904.6535694663232,2570.243205758494
COBENFY,BEHAVIOUR DISORDER,3,1697.8400922796807,2568.826976592539
SODIUM BICARBONATE,CLOSTRIDIUM DIFFICILE INFECTION,8,374.2495603061849,2564.6941911084405
RISPERIDONE,ATYPICAL PNEUMONIA,32,105.0137794836154,2556.658293974476
AMIODARONE,INTESTINAL PERFORATION,17,170.33684046059906,2553.9203271840397
SODIUM FLUORIDE,INTENTIONAL PRODUCT USE ISSUE,9,336.11398036230366,2553.109573163436
YIMMUGO,RASH ERYTHEMATOUS,4,863.4857968096434,2552.4605781001364
ACETAMINOPHEN 650MG PO PREMED,RASH ERYTHEMATOUS,4,863.4857968096434,2552.4605781001364
DIPHENHYDRAMINE 25MG PO PREMED,RASH ERYTHEMATOUS,4,863.4857968096434,2552.4605781001364
ATEZOLIZUMAB,PYELONEPHRITIS,11,275.31853991190064,2550.955855711772
SEMGLE INSULIN,PYELONEPHRITIS,11,275.31853991190064,2550.955855711772
AMOXICILLIN-CLABULANATE,PYELONEPHRITIS,11,275.31853991190064,2550.955855711772
LEUCOVORIN,DYSARTHRIA,12,250.48738596520803,2548.7181736749108
APREPITANT,DYSARTHRIA,12,250.48738596520803,2548.7181736749108
TRIAMCINOLONE ACET CRM,PULMONARY HYPERTENSION,3,1300.7241474684972,2543.138671939589
AMOXICILLIN-CLABULANATE,HYDRONEPHROSIS,11,273.4707670028131,2534.893980725621
ATEZOLIZUMAB,HYDRONEPHROSIS,11,273.4707670028131,2534.893980725621
SEMGLE INSULIN,HYDRONEPHROSIS,11,273.4707670028131,2534.893980725621
ZIPRASIDONE,GASTRIC HAEMORRHAGE,4,870.8481521424043,2531.2045702762616
LIQUID VITAMIN D3/K2 THORNE,"HALLUCINATION, AUDITORY",4,870.8481521424043,2531.2045702762616
CELEBREX,RENAL INJURY,4,993.8923137222076,2530.844258235588
"DIPHENHYD/LIDOCAINE/MAG,AL/SIM (MAGIC MOUTHWASH)",PANCYTOPENIA,12,263.1557074871051,2526.029470788116
CARBAMAZEPINE,AUTOIMMUNE HAEMOLYTIC ANAEMIA,3,1455.4302290927087,2522.74201838208
RIFABUTIN,CHROMATURIA,17,187.85863566841556,2521.100971664014
PRISTIQ EXTENDED-RELEASE,ATTENTION DEFICIT HYPERACTIVITY DISORDER,12,383.1161973053414,2519.591913305897
DIFLUCAN,ABSCESS NECK,3,1398.8499863468012,2512.738625459488
AMOXICILLIN\CLAVULANATE POTASSIUM,HEART RATE IRREGULAR,12,249.90924999617712,2508.4919381092936
RAMADA,OSTEOPENIA,4,859.8247862460507,2500.636146047285
BYSTOLIC,OSTEOPENIA,4,859.8247862460507,2500.636146047285
EYLEA,VITREOUS FLOATERS,3,1331.8461573824009,2493.016157862024
ZEPBOUND,CHAPPED LIPS,16,262.8927255273642,2492.5615380764407
RISPERDAL,BREAST SWELLING,4,15999999.999935998,2492.551250442577
RISPERDAL,BREAST PAIN,4,15999999.999935998,2492.551250442577
CUTAQUIG,ORAL BLOOD BLISTER,3,17543859.64902021,2479.9537312893135
CUTAQUIG,DERMATITIS,3,17543859.64902021,2479.9537312893135
CUTAQUIG,LOCALISED OEDEMA,3,17543859.64902021,2479.9537312893135
DIPHENHYDRAMINE 25MG PO,DISCOMFORT,6,549.1865679828883,2478.0035426502645
SULFAMETHOXAZOLE/TRIMETHO,CARDIAC ARREST,4,821.7210987620028,2472.7378482720655
BUSPAR,ATYPICAL PNEUMONIA,32,101.23938104455773,2462.965073008219
ELIQUIS 2.5 MG TABLET,TREATMENT NONCOMPLIANCE,6,505.6520514375624,2461.310829098815
POLYETH GLYCOL 3350 NF POWDER,TREATMENT NONCOMPLIANCE,6,505.6520514375624,2461.310829098815
ACETAMINOPHEN 325 MG TABLET,TREATMENT NONCOMPLIANCE,6,505.6520514375624,2461.310829098815
.DELTA.9-TETRAHYDROCANNABINOL\CANNABIDIOL\HERBALS,NARCOLEPSY,5,3646.426367245457,2459.661640956421
MEROPENEM,INTESTINAL PERFORATION,17,163.13710680279567,2444.6563268607883
SACITUZUMAB GOVITECAN,HYPOMAGNESAEMIA,12,267.9451432284671,2442.3984540188203
PLERIXAFOR,TRICUSPID VALVE INCOMPETENCE,4,1061.0601111006545,2431.8890681995663
LABETALOL,RENAL TRANSPLANT,4,849.0596163282157,2431.8890681995663
RELEUKO,TRICUSPID VALVE INCOMPETENCE,4,1061.0601111006545,2431.8890681995663
NORETHINDRONE-ETHYL ESTRADIOL,CEREBROVASCULAR ACCIDENT,5,610.137352161058,2429.7809367800905
MAGNESIUM TAB 500MG,SKIN CANCER,3,1212.9965666421044,2422.0604506609766
METOPROL TAR TAB 50MG,SKIN CANCER,3,1212.9965666421044,2422.0604506609766
CYMBALTA CAP 30MG,SKIN CANCER,3,1212.9965666421044,2422.0604506609766
CYMBALTA,PRODUCT STERILITY ISSUE,5,785.9082037818323,2418.301972115739
BYSTOLIC,INSURANCE ISSUE,4,828.3678600451094,2413.1962390084414
RAMADA,INSURANCE ISSUE,4,828.3678600451094,2413.1962390084414
GAMMAGARD LIQUID,LUNG DISORDER,8,395.0841123894909,2412.7400659096793
CRESTOR,ACUTE MYOCARDIAL INFARCTION,26,105.87527441197952,2411.062397551094
ACTIVATED CHARCOAL (CAPSULE),PRODUCT ADVERTISING ISSUE,36,84.08717028140701,2409.6305644792724
TIVICAY,INTERNAL HAEMORRHAGE,4,864.3350467832645,2405.82686563082
SOD CHLOR POS STERILE F (10ML),RHINOVIRUS INFECTION,4,864.3350467832645,2405.82686563082
ENVARSUS XR,ANEURYSM,9,391.60311109161,2405.4330363563986
CEFUROXIME,CLOSTRIDIUM TEST POSITIVE,11,262.09029187967127,2377.9613518042215
HORMONE REPLACEMENT THERAPY ANTIHISTAMINES,SELF ESTEEM DECREASED,6,530.5784770378938,2368.545955986495
SUPPLEMENTAL FIBER,SELF ESTEEM DECREASED,6,530.5784770378938,2368.545955986495
BACTRIM,TESTICULAR PAIN,4,1117.725043836325,2364.8839127676633
ANDROMACHE SODIUM,PHANTOM LIMB SYNDROME,16,176.79054857019264,2363.1023600842327
PROSTHETIC,OSTEONECROSIS,16,176.79054857019264,2363.1023600842327
PROSTHETIC,PHANTOM LIMB SYNDROME,16,176.79054857019264,2363.1023600842327
ANDROMACHE SODIUM,OSTEONECROSIS,16,176.79054857019264,2363.1023600842327
VISINE TOTAL COMFORT,SKIN INJURY,4,849.0248415501724,2357.8446696478973
CETERIZINE HCI,SKIN INJURY,4,849.0248415501724,2357.8446696478973
SOTATERCEPT-CSRK,INTERSTITIAL LUNG DISEASE,12,243.34833202491066,2356.1807721077853
BIKTARVY,PROSTATE CANCER METASTATIC,3,1697.7006875952484,2354.4919377901324
COBENFY,BLOOD TEST ABNORMAL,3,1509.1954637584363,2354.353257437879
AVASTIN,VITREOUS FLOATERS,3,1257.8485314522684,2354.2492578941333
RISPERIDONE,COMMUNICATION DISORDER,32,94.66032309037274,2346.0904545660505
CEFUROXIME,ENTERITIS,11,257.57150167958963,2340.206550843916
ACTIVATED CHARCOAL (CAPSULE),FEELING HOT,36,81.03737975354541,2333.9080828710785
"DIPHENHYD/LIDOCAINE/MAG,AL/SIM (MAGIC MOUTHWASH)",HYPOKALAEMIA,12,240.7595255916229,2333.7479571099784
LEVALBUTEROL HFA,INTENTIONAL PRODUCT USE ISSUE,9,306.45235242721697,2326.373071364247
VITAMIN D DROPS,GASTROINTESTINAL HAEMORRHAGE,6,481.7321642946934,2320.7019846057674
CISPLATIN,HYPOMAGNESAEMIA,12,254.53788613500552,2319.22389497055
VITAMINS B COMPLEX,TASTE DISORDER,6,559.6470272019676,2314.824174162669
ELACESTRANT,THROAT IRRITATION,4,828.3170215018845,2305.3040614980087
ABILIFY,COMPULSIVE SHOPPING,6,762.5782532974871,2300.05929309419
VIVITROL,THERAPY NON-RESPONDER,13,201.33089047088464,2298.600046633654
ATOMOXETINE HYDROCHLORIDE,LEARNING DISORDER,32,88.28419466492755,2295.1252491362
PANTOPRAZOLE SODIUM,MELAENA,24,109.77042382349252,2293.6724596221766
RISPERIDONE,GOUT,32,92.06689319243412,2292.0128805482555
PROSTHETIC,JOINT NOISE,16,170.85798793524054,2290.614913528829
ANDROMACHE SODIUM,JOINT NOISE,16,170.85798793524054,2290.614913528829
EYLEA HD,VISUAL FIELD DEFECT,3,1198.6751687074122,2290.5308460508268
ZYPREXA,PRODUCT USE ISSUE,40,71.31328098943297,2286.8664336003044
ZYPREXA,MOBILITY DECREASED,40,71.31328098943297,2286.8664336003044
CARBIDOPA\LEVODOPA,CLOSTRIDIUM TEST POSITIVE,11,252.00618485045877,2285.7300877914204
ATOMOXETINE HYDROCHLORIDE,BLADDER PAIN,32,87.8267640865838,2284.658849757422
YASMIN,NICOTINE DEPENDENCE,5,646.8089331202456,2284.610380804932
YASMIN,SUBSTANCE USE DISORDER,5,646.8089331202456,2284.610380804932
LURASIDONE 40-60MG,NICOTINE DEPENDENCE,5,646.8089331202456,2284.610380804932
LURASIDONE 40-60MG,SUBSTANCE USE DISORDER,5,646.8089331202456,2284.610380804932
HORMONE REPLACEMENT THERAPY ANTIHISTAMINES,LOSS OF THERAPEUTIC RESPONSE,6,509.355424437346,2283.5853179129194
SUPPLEMENTAL FIBER,LOSS OF THERAPEUTIC RESPONSE,6,509.355424437346,2283.5853179129194
CALCIUM\VITAMIN D,LUNG TRANSPLANT REJECTION,8,345.92982206197564,2272.2555030498406
DEPAKOTE,OSTEOPOROSIS,3,1498.0500836742447,2266.0909838087814
BUSPAR,COMMUNICATION DISORDER,32,91.25804790703255,2259.931781836128
AMIODARONE,CARDIAC FIBRILLATION,6,528.6897387354562,2256.634756809415
CARBIDOPA\LEVODOPA,ENTERITIS,11,247.66125825922694,2249.4269098506625
ENVARSUS XR,MELAENA,24,107.65786809398936,2248.699782390041
GSK4524184 100 MG TABLET,LEUKOPENIA,11,324.44156174839924,2243.7512474095915
KRATOM (RAW POWDER),JOB DISSATISFACTION,8,350.6617898482006,2236.0968238030187
AMLODOPINE BESYLATE LOSARTAN,ALANINE AMINOTRANSFERASE INCREASED,3,1107.5247205010135,2230.6587323526073
HYDROCHLOROROTHIAZIDE,ALANINE AMINOTRANSFERASE INCREASED,3,1107.5247205010135,2230.6587323526073
LOW DOSE ASPIRIN 81 MG,ALANINE AMINOTRANSFERASE INCREASED,3,1107.5247205010135,2230.6587323526073
LURASIDONE 40-60MG,PRODUCT PRESCRIBING ERROR,5,628.8421199965251,2228.679947292058
YASMIN,PRODUCT PRESCRIBING ERROR,5,628.8421199965251,2228.679947292058
RISPERIDONE,DEMENTIA,32,89.01832467477286,2227.740867080233
MIRTAZAPINE 15 MG PO DAILY AT BEDTIME,REFUSAL OF TREATMENT BY PATIENT,6,473.86166795481944,2223.9236479628285
HALOPERIDOL 7.5 MG PO DAILY AT BEDTIME,REFUSAL OF TREATMENT BY PATIENT,6,473.86166795481944,2223.9236479628285
CIPRALEX,ADVERSE DRUG REACTION,4,749.201083182498,2223.5843414234887
PROSTHETIC LEG,ADVERSE DRUG REACTION,4,749.201083182498,2223.5843414234887
PREVNAR20,RESPIRATORY ARREST,4,808.578756681315,2222.711161946871
ROTATEQ,RESPIRATORY ARREST,4,808.578756681315,2222.711161946871
VAXELIS,RESPIRATORY ARREST,4,808.578756681315,2222.711161946871
LEVOTHYROXINE SODIUM,OSTEONECROSIS,16,166.38456860750352,2222.369735345838
LEVOTHYROXINE SODIUM,PHANTOM LIMB SYNDROME,16,166.38456860750352,2222.369735345838
BUSPAR,GOUT,32,88.7578308977071,2207.7892801172447
SAXAGLIPTIN,WHITE BLOOD CELL COUNT DECREASED,4,743.7324702717523,2207.7754775077856
ASPIRIN 81 EC LOW,WHITE BLOOD CELL COUNT DECREASED,4,743.7324702717523,2207.7754775077856
ALPROLIX,FLUSHING,8,326.54935956980876,2198.888615715822
DIPHENHYDRAMINE SDV (1ML/VL),BACTERAEMIA,4,748.50167318597,2197.623854531157
CABERGOLINE,INTENTIONAL PRODUCT USE ISSUE,9,289.42438083477595,2196.209753882631
HYDROXYZINE PAMOATE,HAEMOPTYSIS,4,766.0573628170363,2183.711484094057
THERATEARS,SKIN INJURY,4,783.7075461271962,2175.9555494773585
PLENVU,SKIN INJURY,4,783.7075461271962,2175.9555494773585
ATOMOXETINE HYDROCHLORIDE,SOCIAL ANXIETY DISORDER,32,83.09101192154812,2175.3834371573653
AJOVY,METABOLIC ENCEPHALOPATHY,3,15384615.38453649,2174.369695470816
LAMIVUDINE,COMPLICATIONS OF TRANSPLANTED KIDNEY,4,749.1705490380534,2160.987133550956
ACTIVATED CHARCOAL (CAPSULE),COLD SWEAT,36,74.12424501437705,2158.904715045054
ENTYVIO,BLOOD ELECTROLYTES DECREASED,3,1149.0818629781018,2158.000490124292
LEVOTHYROXINE SODIUM,JOINT NOISE,16,160.8012014534305,2154.143913306871
HYDROMORPHONE,RESPIRATORY FAILURE,12,202.74716090875458,2151.745073340393
BUSPAR,DEMENTIA,32,85.8188338313312,2145.817169446846
SYNTHROID.,SKIN WARM,3,1132.0645326864674,2139.8039561502487
SYNTHROID.,SENSITIVE SKIN,3,1132.0645326864674,2139.8039561502487
CENTRUM MULTI VITAMIN,SENSITIVE SKIN,3,1132.0645326864674,2139.8039561502487
CENTRUM MULTI VITAMIN,SKIN WARM,3,1132.0645326864674,2139.8039561502487
WEGOVY,HAEMOLYTIC ANAEMIA,3,14999999.999924999,2119.9375393879395
WEGOVY,LIBIDO INCREASED,3,14999999.999924999,2119.9375393879395
LEVOTHYROXIN TAB 150MCG,SKIN CANCER,3,1061.366787526944,2118.688729812224
SODIUM CHLORIDE 0.9% FLUSH 3 ML,CACHEXIA,3,1101.4858254299359,2118.3975525849423
OCTREOTIDE ACETATE,GASTROINTESTINAL HAEMORRHAGE,4,712.5269565481348,2117.439115831604
SOTATERCEPT-CSRK,EPISTAXIS,12,215.5371480284008,2112.296287424049
ATOMOXETINE HYDROCHLORIDE,MULTIPLE ALLERGIES,32,80.3344407237047,2110.996395506117
URSODIOL,BLOOD ALKALINE PHOSPHATASE INCREASED,13,191.13494698414573,2106.269112749817
BREZTRI,ANGINA PECTORIS,4,771.8096283650342,2102.1970349675416
NINTEDANIB,INTERSTITIAL LUNG DISEASE,12,217.18960699759486,2100.710491088448
SUMATRIPTAN,REBOUND EFFECT,12,213.50588663999142,2098.206231933277
ROCEPHIN,PELVIC PAIN,3,2016.5957531177178,2097.9093135125077
NICOTINE,SUBSTANCE USE DISORDER,5,593.996542215209,2097.41925770934
NICOTINE,NICOTINE DEPENDENCE,5,593.996542215209,2097.41925770934
GERITOL,INFREQUENT BOWEL MOVEMENTS,20,130.4683684567761,2094.175341249499
GERITOL,POOR PERSONAL HYGIENE,20,130.4683684567761,2094.175341249499
KENALOG,BLOOD POTASSIUM DECREASED,12,199.7478796145367,2083.2285916940887
7-HYDROXYMITRAGYNINE,PHYSICAL PRODUCT LABEL ISSUE,36,88.58222104992359,2082.628108365771
AMITRIPTYLINE,SINUS TACHYCARDIA,4,862.3290286891664,2079.422926769968
DEPAKOTE,BLOOD TEST ABNORMAL,3,1331.6038423501295,2076.8439464304797
R SHOULDER PROSTHESIS,URINARY RETENTION,5,541.9429740977802,2076.4482569093952
LABETALOL,SKIN CANCER,4,717.5155462688144,2074.2985355716182
ZETIA,RESPIRATORY DISTRESS,12,200.7219727523694,2073.0577517720676
ARGININE,BLOOD SODIUM DECREASED,4,746.3807157483783,2067.180987844849
"INSULIN, 2-3 UNITS PER DAY FAST ACTING (3X DAILY IF NEEDED)",BLOOD SODIUM DECREASED,4,746.3807157483783,2067.180987844849
"METFORMIN 1,000MG 2X DAILY",BLOOD SODIUM DECREASED,4,746.3807157483783,2067.180987844849
MAGNESIUM COMPLEX 2X DAILY,BLOOD SODIUM DECREASED,4,746.3807157483783,2067.180987844849
MOLOXICAM,CARDIAC VENTRICULAR THROMBOSIS,3,1072.499511779544,2066.617623768164
ZEPBOUND,OBSTRUCTIVE AIRWAYS DISORDER,16,198.94619778996392,2064.1466278655134
TRULICITY,PYELONEPHRITIS,11,222.66990414192722,2059.403965598373
RISPERDAL,GLUCOSE TOLERANCE IMPAIRED,36,65.13309053917449,2050.8042386271927
RISPERDAL,OBESITY,36,65.13309053917449,2050.8042386271927
GERITOL,DECUBITUS ULCER,20,127.28621839414075,2049.459582908308
TRULICITY,HYDRONEPHROSIS,11,221.17547729835132,2046.4120100536504
NICOTINE,PRODUCT PRESCRIBING ERROR,5,577.4967316454645,2046.053599515178
RISPERDAL,GALACTORRHOEA,36,64.84489115329406,2042.1322697790445
KEYTRUDA,MYOCLONIC EPILEPSY,5,785.6573768968873,2039.5989154040844
HISTRELIN,EYE HAEMORRHAGE,3,1107.4195366687873,2036.6786106490497
RAMIPRIL,OSTEONECROSIS,16,151.8580999347389,2025.911945867498
RAMIPRIL,PHANTOM LIMB SYNDROME,16,151.8580999347389,2025.911945867498
EYLEA,VISUAL FIELD DEFECT,3,1057.6441801340745,2020.4887576246863
PREVNAR20,WHEEZING,4,727.7212929071682,2020.050641626685
VAXELIS,WHEEZING,4,727.7212929071682,2020.050641626685
VAXELIS,RASH MACULAR,4,727.7212929071682,2020.050641626685
ROTATEQ,RASH MACULAR,4,727.7212929071682,2020.050641626685
ROTATEQ,WHEEZING,4,727.7212929071682,2020.050641626685
PREVNAR20,RASH MACULAR,4,727.7212929071682,2020.050641626685
ZOPICLONE,SLEEP TERROR,8,348.15373737778816,2019.1720726857013
CLOMIPRAMINE,SLEEP TERROR,8,348.15373737778816,2019.1720726857013
CLOMIPRAMINE HYDROCHLORIDE,SLEEP TERROR,8,348.15373737778816,2019.1720726857013
PROSTHETIC,NEGATIVE THOUGHTS,16,148.87628467374543,2017.7225431200504
ANDROMACHE SODIUM,NEGATIVE THOUGHTS,16,148.87628467374543,2017.7225431200504
CELLCEPT,INTERSTITIAL LUNG DISEASE,12,208.56585149407178,2016.4898118073922
NITRO-BID,LOSS OF EMPLOYMENT,4,674.7772349611574,2007.8698603418757
DUONEB,CARDIAC ARREST,9,260.23222111523705,2000.5586130488268
INDOMETHACIN,POST PROCEDURAL COMPLICATION,6,417.98081049372865,1995.2372028444322
CETERIZINE HCI,FACE INJURY,4,707.5213019949716,1994.102090448834
VISINE TOTAL COMFORT,FACE INJURY,4,707.5213019949716,1994.102090448834
VALIUM,AFFECT LABILITY,6,566.699549275821,1992.2347174919798
RISPERDAL,METABOLIC DISORDER,36,63.03202402211119,1987.4524853664695
PROCHLORPERAZINE,PANCYTOPENIA,12,207.42167822044757,1986.756799477546
YIMMUGO,RASH PRURITIC,4,665.9566292589822,1982.222281423015
ACETAMINOPHEN 650MG PO PREMED,RASH PRURITIC,4,665.9566292589822,1982.222281423015
DIPHENHYDRAMINE 25MG PO PREMED,RASH PRURITIC,4,665.9566292589822,1982.222281423015
CATAPRES,FEELING GUILTY,6,526.25244361623,1981.6778107626428
TIVICAY,BLOOD URINE PRESENT,4,694.858263765862,1967.229252814795
SIMPONI ARIA,AUTOIMMUNE DISORDER,12,201.65404879949105,1966.8780871648457
BLISOVI 1/20 FE ORAL 1X DAY,ANAPHYLACTIC SHOCK,6,460.88637883773686,1966.0117844764588
SERTRALINE 50MG ORAL 1X DAY,ANAPHYLACTIC SHOCK,6,460.88637883773686,1966.0117844764588
RAMIPRIL,JOINT NOISE,16,146.7621975056521,1963.6352819470917
NIFEDIPINE 30 MG SR,DRUG-INDUCED LIVER INJURY,3,984.4511987297391,1961.3594975923438
LISINOPRIL 40 MG TAB,DRUG-INDUCED LIVER INJURY,3,984.4511987297391,1961.3594975923438
HYDROCHLOROTHIAZIDE 25 MB,DRUG-INDUCED LIVER INJURY,3,984.4511987297391,1961.3594975923438
POTASSIUM CHLORIDE ER 10 MEQ CAP,DRUG-INDUCED LIVER INJURY,3,984.4511987297391,1961.3594975923438
GLUCOSE TABS,HEPATIC ENZYME ABNORMAL,3,1029.1502106592172,1961.0995707964819
CLARAVIS,HEPATIC ENZYME ABNORMAL,3,1029.1502106592172,1961.0995707964819
BAQSIMI,HEPATIC ENZYME ABNORMAL,3,1029.1502106592172,1961.0995707964819
OMNI POD,HEPATIC ENZYME ABNORMAL,3,1029.1502106592172,1961.0995707964819
STRIPS,HEPATIC ENZYME ABNORMAL,3,1029.1502106592172,1961.0995707964819
DEXCOM G7,HEPATIC ENZYME ABNORMAL,3,1029.1502106592172,1961.0995707964819
GLUCOMETOR,HEPATIC ENZYME ABNORMAL,3,1029.1502106592172,1961.0995707964819
KETON STRIPS,HEPATIC ENZYME ABNORMAL,3,1029.1502106592172,1961.0995707964819
HERBALS\MITRAGYNINE,PRODUCT USE IN UNAPPROVED INDICATION,3,1078.1059411631916,1961.070694293976
THIAMINE,RESPIRATORY FAILURE,13,169.3698224991325,1951.5671510252164
PROTONIX,INTESTINAL PERFORATION,17,130.1315862140986,1943.7666166855659
GERITOL,LEGAL PROBLEM,20,119.51302629438835,1938.9047039442937
LURASIDONE HCL,NICOTINE DEPENDENCE,5,549.1558329560628,1938.4834919068103
LURASIDONE HCL,SUBSTANCE USE DISORDER,5,549.1558329560628,1938.4834919068103
CLOMIPRAMINE,CATATONIA,8,331.1707126020336,1936.1654541473638
CLOMIPRAMINE HYDROCHLORIDE,CATATONIA,8,331.1707126020336,1936.1654541473638
ZOPICLONE,CATATONIA,8,331.1707126020336,1936.1654541473638
INSPIRE SLEEP DEVICE,QUALITY OF LIFE SCALE,5,599.129191800044,1934.0626277713097
BIPAP MACHINE,QUALITY OF LIFE SCALE,5,599.129191800044,1934.0626277713097
BIPAP MACHINE,AGORAPHOBIA,5,599.129191800044,1934.0626277713097
INSPIRE SLEEP DEVICE,AGORAPHOBIA,5,599.129191800044,1934.0626277713097
EMPAGLIFLOZIN,RESPIRATORY ALKALOSIS,8,551.2651153582996,1930.2816923034964
APIXABAN,IRON DEFICIENCY ANAEMIA,4,1256.9051502100083,1920.8739086125202
APIXABAN,GASTROINTESTINAL TRACT ADENOMA,4,1256.9051502100083,1920.8739086125202
APIXABAN,CYSTATIN C INCREASED,4,1256.9051502100083,1920.8739086125202
GENVOYA,HAEMOGLOBIN DECREASED,4,644.8820795649319,1920.8739086125202
BACTRIM,SCIATICA,4,838.2985263752331,1920.1855044820556
DARATUMUMAB,DRUG ERUPTION,4,686.0708968543439,1919.9781369715024
DALFAMPRIDINE,MULTIPLE SCLEROSIS RELAPSE,4,738.1927361468285,1919.9781369715024
LITHIUM 300MG PO BID,GASTROOESOPHAGEAL REFLUX DISEASE,8,292.7336812372498,1912.591373810452
GABAPENTIN 600MG PO TID,GASTROOESOPHAGEAL REFLUX DISEASE,8,292.7336812372498,1912.591373810452
BENZTROPINE 1MG PO QD,GASTROOESOPHAGEAL REFLUX DISEASE,8,292.7336812372498,1912.591373810452
CLOZAPINE 50MG PO AM + 200MG QHS,GASTROOESOPHAGEAL REFLUX DISEASE,8,292.7336812372498,1912.591373810452
AVASTIN,VISUAL FIELD DEFECT,3,998.881268227864,1907.9712471004461
ROBAXIN,RESPIRATORY DISTRESS,12,184.78712231622245,1906.7587222000973
KEYTRUDA,DIABETIC KETOACIDOSIS,15,152.6129358802367,1906.031398399415
KEYTRUDA,GLYCOSYLATED HAEMOGLOBIN INCREASED,5,707.0932391422947,1903.0358948442206
HUMALOG 100 U/ML KWIK PEN INJ 3ML,HERPES ZOSTER,4,636.8210638372325,1897.3819717943002
MELATONIN 1 MG TABLETS,HERPES ZOSTER,4,636.8210638372325,1897.3819717943002
CENTRUM SILVER TABLETS,HERPES ZOSTER,4,636.8210638372325,1897.3819717943002
MYCOPHENOLIC,HERPES ZOSTER,4,636.8210638372325,1897.3819717943002
TRESIBA FLEXTOUCH PEN(U-200)INJ 3ML,HERPES ZOSTER,4,636.8210638372325,1897.3819717943002
MAG-OX I DE 400MG TABLET,HERPES ZOSTER,4,636.8210638372325,1897.3819717943002
LEVOTHYROXINE SODIUM,NEGATIVE THOUGHTS,16,140.11335222073149,1897.29542921033
IRON 325MG TABLETS,PLATELET COUNT DECREASED,4,656.2718138535806,1893.7300504810107
REPLENZA,DRUG HYPERSENSITIVITY,5,473.92070553683465,1892.461021131911
ESTRADOIL PATCH,DRUG HYPERSENSITIVITY,5,473.92070553683465,1892.461021131911
CENTRIZINE,DRUG HYPERSENSITIVITY,5,473.92070553683465,1892.461021131911
VRYLAR,DRUG HYPERSENSITIVITY,5,473.92070553683465,1892.461021131911
LURASIDONE HCL,PRODUCT PRESCRIBING ERROR,5,533.9015905925286,1890.99358927103
DEVICE,INJURY,12,271.5100542870344,1889.5389912238434
DEVICE,ABNORMAL WEIGHT GAIN,12,271.5100542870344,1889.5389912238434
LINEZOLID,FREQUENT BOWEL MOVEMENTS,6,478.85528464375363,1888.3420226471242
PROLIA,STRESS FRACTURE,3,13333333.333274074,1884.0648643960344
NINTEDANIB,EPISTAXIS,12,192.36798577329444,1883.0158827588018
GABAPENTIN TAB 600MG,SKIN CANCER,3,943.4325148780754,1882.7330233887951
COBENFY,COMPULSIVE SHOPPING,3,1131.9030038046228,1882.5112329306583
CALCITRIOL,MEDULLARY THYROID CANCER,3,1131.9030038046228,1882.5112329306583
VITAMINS D,TASTE DISORDER,6,454.67303161586693,1878.9024726490286
BUPRENORPHINE,HAEMODIALYSIS,4,684.893491775936,1876.363156719341
CEFUROXIME,PYELONEPHRITIS,11,201.8804428377847,1865.3052610961065
CUTAQUIG,CELULITIS,12,198.4594777307666,1855.7048394554135
ENOXAPARIN,POOR PERSONAL HYGIENE,20,115.7552075680271,1854.254978954546
ENOXAPARIN,INFREQUENT BOWEL MOVEMENTS,20,115.7552075680271,1854.254978954546
CEFUROXIME,HYDRONEPHROSIS,11,200.52554238930898,1853.5255392936372
RELEUKO,BRAIN NATRIURETIC PEPTIDE INCREASED,4,748.9873476973955,1851.2487318740937
PLERIXAFOR,BRAIN NATRIURETIC PEPTIDE INCREASED,4,748.9873476973955,1851.2487318740937
CLOPIDOGREL BISULFATE,GASTRIC ULCER,4,707.4349665857209,1851.1669448773214
FENOFIBRATE,BLOOD ALKALINE PHOSPHATASE INCREASED,13,167.4795200087976,1842.73101184866
FIBERCON,LABORATORY TEST ABNORMAL,4,617.523479675617,1841.0847293352713
VITAMIN B-COMPLEX W/B-12,LABORATORY TEST ABNORMAL,4,617.523479675617,1841.0847293352713
FLUAD 65+,LABORATORY TEST ABNORMAL,4,617.523479675617,1841.0847293352713
PLENVU,FACE INJURY,4,653.0901762570046,1840.1900030180095
THERATEARS,FACE INJURY,4,653.0901762570046,1840.1900030180095
EZETIMIBE,ACUTE MYOCARDIAL INFARCTION,26,81.25962856962886,1839.596113193781
PRIVIGEN,CEREBROVASCULAR ACCIDENT,4,608.319032780727,1837.1309272698068
PROCHLORPERAZINE,HYPOKALAEMIA,12,189.768807681236,1835.1574751957198
DOXEPIN 75,SEDATION,66,33.50353492202158,1835.1190416055306
INTUNIV,SEDATION,66,33.50353492202158,1835.1190416055306
VYAANSE 60,SEDATION,66,33.50353492202158,1835.1190416055306
OPSUMIT,PULMONARY ARTERIAL HYPERTENSION,11,257.03533925246967,1834.6261890063035
